1858 1939 85 327 3132 524 3418 1256 3386 3708 1973 536 4721 3740 1780 2325 4823 2898 3983 3586
3914 274 2320 1975 3454 784 648 4219 591 3774 831 3168 3470 2844 2389 3849 4153 2761 1354 921
3400 1237 862 2967 112 2278 707 3132 101 54 510 575 4175 1759 4532 808 895 4459 2632 819
1415 3803 2289 1169 2929 2262 1095 589 1931 4216 1145 4601 4788 3784 3690 2016 4925 2265 227 785
3126 4915 3619 4764 2778 4764 3992 430 2532 2067 1697 1612 513 3994 2375 74 2690 4991 3426 640
478 1260 1250 2375 2316 3132 4408 2320 2351 78 4345 4260 81 1320 3519 2283 2343 1538 915 3695
758 267 1202 234 537 3556 3448 3207 4854 3630 2265 1664 851 4843 2950 1961 4244 4460 2439 2718
964 3765 3844 773 4254 3552 1932 3812 3743 2113 4840 2690 34 3537 4913 1834 369 755 741 79
1194 2661 1523 1519 3079 2373 2119 88 2090 1827 1780 4061 204 245 2954 2967 2258 1497 3412 1780
1194 795 230 2787 907 2625 2604 4325 3072 808 2757 2338 601 4622 2981 4510 2027 666 2450 838
3759 2773 1910 4881 2125 3476 3520 32 430 1137 1692 26 2690 4588 3292 4493 2763 4390 4873 33
1541 2834 2277 4764 153 444 3917 3412 3429 4462 1837 1890 4029 1502 1806 2906 3281 2542 3292 354
4271 1890 667 2936 544 4145 180 985 2412 2373 234 2778 3549 3454 3435 2497 2071 3076 4185 460
478 1547 3111 2726 4134 353 1240 3043 2965 1110 1747 4189 2258 4595 996 3013 1700 2686 3519 3472
42 1247 3710 4184 1235 3281 131 3211 1375 2351 1619 1919 1172 4308 149 2609 4158 112 2727 2265
3484 4846 2757 2018 1519 4404 2253 2887 3041 2480 3234 1460 1932 1172 3140 636 3537 3132 2277 3312
1522 1685 3754 3989 2102 2372 4630 2373 4109 810 4734 2085 1759 4406 4094 3757 1213 1497 2515 1057
3619 3476 4022 22 3377 4727 2879 1932 236 2505 3448 3059 786 478 4624 265 2690 4540 2310 785
1207 919 3851 189 3255 4364 1698 1216 4286 3456 506 4462 1460 4624 81 4300 2686 1452 1820 2229
3275 1260 3447 2977 755 2300 3937 659 878 3622 3281 3048 1051 3476 1270 4842 3996 1981 3714 4185
240 3980 2648 2410 2477 4652 4024 849 1360 862 346 4003 1325 3229 3385 3019 2106 601 47 3665
